uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.044689 -0.019992 3.000000 0.000000 1.000000 0.000000 10.000000 183 0 1.000000e+00
0.518437 -0.006010 3.000000 0.000000 1.000000 0.000000 10.000000 2123 0 1.000000e+00
0.937485 0.014325 3.000000 0.000000 1.000000 0.000000 10.000000 3839 5 1.000000e+00
0.820513 0.369327 3.000000 0.000000 1.000000 0.000000 10.000000 3360 151 1.000000e+00
0.427350 1.322542 3.000000 0.000000 1.000000 0.000000 10.000000 1750 541 1.434461e-01
0.280586 2.688450 3.000000 0.000000 1.000000 0.000000 10.000000 1149 1100 5.712417e-02
0.042491 4.056783 3.000000 0.000000 1.000000 0.000000 10.000000 174 1661 1.534622e-02
0.014164 5.203679 3.000000 0.000000 1.000000 0.000000 10.000000 58 2130 7.626551e-03
0.004640 5.924034 3.000000 0.000000 1.000000 0.000000 10.000000 19 2425 4.637434e-03
0.031746 6.157219 3.000000 0.000000 1.000000 0.000000 10.000000 130 2521 4.026300e-03
0.177534 5.921612 3.000000 0.000000 1.000000 0.000000 10.000000 727 2424 4.026300e-03
0.601465 5.272602 3.000000 0.000000 1.000000 0.000000 10.000000 2463 2159 3.530870e-03
0.783639 4.400793 3.000000 0.000000 1.000000 0.000000 10.000000 3209 1802 2.547296e-03
0.695238 3.646229 3.000000 0.000000 1.000000 0.000000 10.000000 2847 1493 2.116706e-03
0.560928 3.195479 3.000000 0.000000 1.000000 0.000000 10.000000 2297 1308 1.186479e-03
0.319170 2.988947 3.000000 0.000000 1.000000 0.000000 10.000000 1307 1223 1.186479e-03
0.353358 2.969133 3.000000 0.000000 1.000000 0.000000 10.000000 1447 1215 1.186479e-03
0.385348 2.929047 3.000000 0.000000 1.000000 0.000000 10.000000 1578 1199 1.186479e-03
0.335531 2.906470 3.000000 0.000000 1.000000 0.000000 10.000000 1374 1190 1.186479e-03
0.319902 2.925049 3.000000 0.000000 1.000000 0.000000 10.000000 1310 1197 1.186479e-03
0.336508 2.942494 3.000000 0.000000 1.000000 0.000000 10.000000 1378 1204 1.186479e-03
0.315995 2.961887 3.000000 0.000000 1.000000 0.000000 10.000000 1294 1212 1.186479e-03
