uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.044689 -0.019992 3.000000 0.000000 1.000000 0.000000 10.000000 183 0 1.000000e+00
0.518681 -0.006010 3.000000 0.000000 1.000000 0.000000 10.000000 2124 0 1.000000e+00
0.938462 0.014325 3.000000 0.000000 1.000000 0.000000 10.000000 3843 5 1.000000e+00
0.946520 0.369487 3.000000 0.000000 1.000000 0.000000 10.000000 3876 151 1.000000e+00
0.529915 1.323185 3.000000 0.000000 1.000000 0.000000 10.000000 2170 541 1.433810e-01
0.079853 2.774611 3.000000 0.000000 1.000000 0.000000 10.000000 327 1136 5.710057e-02
0.021490 4.290225 3.000000 0.000000 1.000000 0.000000 10.000000 88 1756 1.646914e-02
0.000000 5.415513 3.000000 0.000000 1.000000 0.000000 10.000000 0 2217 7.360715e-03
0.000000 6.087840 3.000000 0.000000 1.000000 0.000000 10.000000 0 2492 5.630875e-03
0.022466 6.253239 3.000000 0.000000 1.000000 0.000000 10.000000 92 2560 4.587519e-03
0.012210 5.942585 3.000000 0.000000 1.000000 0.000000 10.000000 50 2433 4.587519e-03
0.436386 5.218315 3.000000 0.000000 1.000000 0.000000 10.000000 1787 2136 3.842822e-03
0.868864 4.162994 3.000000 0.000000 1.000000 0.000000 10.000000 3558 1704 2.801227e-03
0.894261 3.141270 3.000000 0.000000 1.000000 0.000000 10.000000 3662 1286 2.074476e-03
0.572161 2.537965 3.000000 0.000000 1.000000 0.000000 10.000000 2343 1039 1.545610e-03
0.342857 2.376493 3.000000 0.000000 1.000000 0.000000 10.000000 1404 973 1.545610e-03
0.489621 2.455966 3.000000 0.000000 1.000000 0.000000 10.000000 2005 1005 1.545610e-03
0.020757 2.562353 3.000000 0.000000 1.000000 0.000000 10.000000 85 1049 1.509735e-03
0.364591 2.797845 3.000000 0.000000 1.000000 0.000000 10.000000 1493 1145 1.471349e-03
0.419780 2.813779 3.000000 0.000000 1.000000 0.000000 10.000000 1719 1152 1.471349e-03
0.329915 2.860862 3.000000 0.000000 1.000000 0.000000 10.000000 1351 1171 1.471349e-03
0.232234 2.983035 3.000000 0.000000 1.000000 0.000000 10.000000 951 1221 1.471349e-03
0.186081 3.087570 3.000000 0.000000 1.000000 0.000000 10.000000 762 1264 1.471349e-03
0.522100 3.108706 3.000000 0.000000 1.000000 0.000000 10.000000 2138 1273 1.471349e-03
0.045421 3.027556 3.000000 0.000000 1.000000 0.000000 10.000000 186 1239 1.471349e-03
0.467399 3.084176 3.000000 0.000000 1.000000 0.000000 10.000000 1914 1262 1.471349e-03
0.377534 2.949857 3.000000 0.000000 1.000000 0.000000 10.000000 1546 1207 1.471349e-03
0.388767 2.921274 3.000000 0.000000 1.000000 0.000000 10.000000 1592 1196 1.471349e-03
0.299145 2.925122 3.000000 0.000000 1.000000 0.000000 10.000000 1225 1197 1.471349e-03
0.287424 2.985893 3.000000 0.000000 1.000000 0.000000 10.000000 1177 1222 1.471349e-03
0.347985 3.006766 3.000000 0.000000 1.000000 0.000000 10.000000 1425 1231 1.471349e-03
0.344567 2.994645 3.000000 0.000000 1.000000 0.000000 10.000000 1411 1226 1.471349e-03
0.299634 3.004632 3.000000 0.000000 1.000000 0.000000 10.000000 1227 1230 1.471349e-03
0.299389 3.024079 3.000000 0.000000 1.000000 0.000000 10.000000 1226 1238 1.471349e-03
0.384371 3.011927 3.000000 0.000000 1.000000 0.000000 10.000000 1574 1233 1.471349e-03
0.332601 2.972340 3.000000 0.000000 1.000000 0.000000 10.000000 1362 1217 1.471349e-03
0.359707 2.975191 3.000000 0.000000 1.000000 0.000000 10.000000 1473 1218 1.471349e-03
0.244444 2.993296 3.000000 0.000000 1.000000 0.000000 10.000000 1001 1225 1.471349e-03
0.457143 3.038205 3.000000 0.000000 1.000000 0.000000 10.000000 1872 1244 1.471349e-03
0.055433 3.012595 3.000000 0.000000 1.000000 0.000000 10.000000 227 1233 1.471349e-03
0.300366 3.088062 3.000000 0.000000 1.000000 0.000000 10.000000 1230 1264 1.471349e-03
0.494505 2.972116 3.000000 0.000000 1.000000 0.000000 10.000000 2025 1217 1.471349e-03
0.376068 2.830270 3.000000 0.000000 1.000000 0.000000 10.000000 1540 1158 1.471349e-03
0.415873 2.824746 3.000000 0.000000 1.000000 0.000000 10.000000 1703 1156 1.471349e-03
0.177534 2.881113 3.000000 0.000000 1.000000 0.000000 10.000000 727 1179 1.471349e-03
0.388278 3.007181 3.000000 0.000000 1.000000 0.000000 10.000000 1590 1231 1.436315e-03
0.177045 3.030740 3.000000 0.000000 1.000000 0.000000 10.000000 725 1241 1.436315e-03
0.353358 3.079579 3.000000 0.000000 1.000000 0.000000 10.000000 1447 1261 1.436315e-03
0.426862 3.018810 3.000000 0.000000 1.000000 0.000000 10.000000 1748 1236 1.436315e-03
0.197314 2.983062 3.000000 0.000000 1.000000 0.000000 10.000000 808 1221 1.436315e-03
0.415140 3.019629 3.000000 0.000000 1.000000 0.000000 10.000000 1700 1236 1.436315e-03
0.361172 2.958071 3.000000 0.000000 1.000000 0.000000 10.000000 1479 1211 1.436315e-03
0.335287 2.947649 3.000000 0.000000 1.000000 0.000000 10.000000 1373 1207 1.436315e-03
0.393407 2.942254 3.000000 0.000000 1.000000 0.000000 10.000000 1611 1204 1.436315e-03
0.371917 2.953048 3.000000 0.000000 1.000000 0.000000 10.000000 1523 1209 3.384428e-04
0.310623 2.992401 3.000000 0.000000 1.000000 0.000000 10.000000 1272 1225 3.384428e-04
0.174115 3.056674 3.000000 0.000000 1.000000 0.000000 10.000000 713 1251 3.384428e-04
0.407082 3.083311 3.000000 0.000000 1.000000 0.000000 10.000000 1667 1262 3.384428e-04
0.411477 2.973301 3.000000 0.000000 1.000000 0.000000 10.000000 1685 1217 3.384428e-04
0.310867 2.905552 3.000000 0.000000 1.000000 0.000000 10.000000 1273 1189 3.384428e-04
0.427595 2.899444 3.000000 0.000000 1.000000 0.000000 10.000000 1751 1187 3.384428e-04
0.369719 2.873238 3.000000 0.000000 1.000000 0.000000 10.000000 1514 1176 3.384428e-04
0.249817 2.906444 3.000000 0.000000 1.000000 0.000000 10.000000 1023 1190 3.384428e-04
0.307204 2.981773 3.000000 0.000000 1.000000 0.000000 10.000000 1258 1221 3.384428e-04
0.347497 2.979175 3.000000 0.000000 1.000000 0.000000 10.000000 1423 1219 3.384428e-04
0.385348 2.944762 3.000000 0.000000 1.000000 0.000000 10.000000 1578 1205 3.384428e-04
0.345055 2.925125 3.000000 0.000000 1.000000 0.000000 10.000000 1413 1197 3.384428e-04
